0,['조국이어 문재인 SM 터졌다!!! 초대형 권력 비리 의혹!!! (우동균 기자) / 신의한수',['신의한수',-['신의한수'
1, '황교안 물 섭취도 중단!!! 생명이 위험하다!!! / 신의한수 19.11.26', '신의한수',['신의한수'- '신의한수'
2, '놀라운 대회 스타킹 130727 #35(5)', 'I M Shook', '신의한수'- 'I M Shook'
3, '황교안이 위독하다!!! 유재수 초강력 비리 터졌다!!!/ 신의한수 19.11.26', '신의한수', 'I M Shook'- '신의한수'
4, '황교안 물 섭취도 중단!!! 생명이 위험하다!!! / 신의한수 19.11.26', '신의한수', '신의한수'- '신의한수'
5, '컴퓨터두뇌암산왕#5', 'I M Shook', '신의한수'- 'I M Shook'
6, '[sbs 스타킹] 235회 2011년10월1일 토요일_11', 'I M Shook', 'I M Shook'- 'I M Shook'
7, '[sbs 스타킹] 235회 2011년10월1일 토요일_13', 'I M Shook', 'I M Shook'- 'I M Shook'
8, '♧노래자랑 인기상 3관왕 방서희 (7세 유치원)♧', '*7세 유치원*노래자랑 인기상 3관왕 방서희', 'I M Shook'- '*7세 유치원*노래자랑 인기상 3관왕 방서희'
9, '4세베이비현아 #2', 'I M Shook', '*7세 유치원*노래자랑 인기상 3관왕 방서희'- 'I M Shook'
10, '4세 베이비 현아 #3', 'I M Shook', 'I M Shook'- 'I M Shook'
11, '36개월 신동의 늴니리아 공연 @놀라운 대회 스타킹 140913', 'I M Shook', 'I M Shook'- 'I M Shook'
12, '황교안 물 섭취도 중단!!! 생명이 위험하다!!! / 신의한수 19.11.26', '신의한수', 'I M Shook'- '신의한수'
13, '컴퓨터두뇌암산왕#5', 'I M Shook', '신의한수'- 'I M Shook'
14, '예술당구 신동 김보건 등장 @놀라운 대회 스타킹 130907', 'I M Shook', 'I M Shook'- 'I M Shook'
15, '최현우 노홍철의 매직홀 4회 - 마술 vs 기술 제 2탄', 'TV조선 다큐멘터리', 'I M Shook'- 'TV조선 다큐멘터리'
16, '놀라운대회 스타킹(STAR KING).110326.HD_06', 'I M Shook', 'TV조선 다큐멘터리'- 'I M Shook'
17, '놀라운대회 스타킹(STAR KING).110326.HD_08', 'I M Shook', 'I M Shook'- 'I M Shook'
18, '놀라운대회 스타킹(STAR KING).110326.HD_10', 'I M Shook', 'I M Shook'- 'I M Shook'
19, '[SBS] 놀라운 대회 스타킹 250 회 (2012-01-14) 13', 'I M Shook', 'I M Shook'- 'I M Shook'
20, '스타킹 당구의신 #2', 'I M Shook', 'I M Shook'- 'I M Shook'
21, '스타킹 당구의신 #4', 'I M Shook', 'I M Shook'- 'I M Shook'
22, '발차기 챔피언, 'I M Shook', 'I M Shook'- 'I M Shook'
23, 발 차기로 사과 격파 @놀라운 대회 스타킹 141108', 'I M Shook', 'I M Shook'- 'I M Shook'
24," ""강호동", 'I M Shook', 'I M Shook'- 'I M Shook'
25," 손가락 호신술에 '굴욕' @놀라운 대회 스타킹 130810""", 'I M Shook', 'I M Shook'- 'I M Shook'
26, '발차기 챔피언, 'I M Shook', 'I M Shook'- 'I M Shook'
27, 발 차기로 사과 격파 @놀라운 대회 스타킹 141108', '신의한수', 'I M Shook'- '신의한수'
28, '놀라운 대회 스타킹-세쌍둥이(205회)_13', '신의한수', '신의한수'- '신의한수'
29, '놀라운 대회 스타킹_205_14', 'I M Shook', '신의한수'- 'I M Shook'
30, '황교안이 위독하다!!! 유재수 초강력 비리 터졌다!!!/ 신의한수 19.11.26', 'suportgbi', 'I M Shook'- 'suportgbi'
31, '황교안 물 섭취도 중단!!! 생명이 위험하다!!! / 신의한수 19.11.26', 'I M Shook', 'suportgbi'- 'I M Shook'
32, '4세베이비현아 #2', 'I M Shook', 'I M Shook'- 'I M Shook'
33, '조명섭 최종 우승했다, 'I M Shook', 'I M Shook'- 'I M Shook'
34, 왜 그가 이길 않았다?', 'I M Shook', 'I M Shook'- 'I M Shook'
35, '[sbs 스타킹] 235회 2011년10월1일 토요일_11', 'I M Shook', 'I M Shook'- 'I M Shook'
36, '[sbs 스타킹] 235회 2011년10월1일 토요일_13', 'I M Shook', 'I M Shook'- 'I M Shook'
37, '천재견 해리 #2', 'I M Shook', 'I M Shook'- 'I M Shook'
38, '천재견 해리 #4', 'I M Shook', 'I M Shook'- 'I M Shook'
39, '천재견 해리 #3', 'I M Shook', 'I M Shook'- 'I M Shook'
40, '천재견 해리 #5', 'I M Shook', 'I M Shook'- 'I M Shook'
41, '천재견 해리 #7', 'I M Shook', 'I M Shook'- 'I M Shook'
42, '6살피아노신동#2', '주식회사 더지엠컴퍼니', 'I M Shook'- '주식회사 더지엠컴퍼니'
43, '9살 천재 순정 드러머 @스타킹 20130706', 'I M Shook', '주식회사 더지엠컴퍼니'- 'I M Shook'
44, '놀라운 대회 스타킹 130727 #35(4)', 'KBS창원', 'I M Shook'- 'KBS창원'
45, '놀라운대회 스타!킹-12살 드럼신동(204회)_01', '트로트 신동 정동원', 'KBS창원'- '트로트 신동 정동원'
46, '나운도 전자올겐 지루박 3집 - 붉은입술', 'JTBC Entertainment', '트로트 신동 정동원'- 'JTBC Entertainment'
47, '놀라운대회 스타!킹-12살 드럼신동(204회)_01', 'I M Shook', 'JTBC Entertainment'- 'I M Shook'
48, '타고난 절대음감 정동원~ ♬ 색소폰 연주 ♬ 영상모음 - 이별의 부산정거장+아모르 파티(노래가 좋아)/나그네 설움(전국노래자랑, 'sungwon Choi', 'I M Shook'- 'sungwon Choi'
49, feat 송해)', 'I M Shook', 'sungwon Choi'- 'I M Shook'
50, '@2018 전국 노래자랑 연말결선 예심 @ 정동원 / 그물(손빈) & 대지의 항구 (백년설) & 이별의 부산정거장 (남인수)', '문일지', 'I M Shook'- '문일지'
51," ""111cm 트로트 엄지공주! 하춘화의 '날 버린 남자' 열창! - 미라클 코리아 13회""", 'I M Shook', '문일지'- 'I M Shook'
52, '스타킹 트로트 전교회장_01', 'I M Shook', 'I M Shook'- 'I M Shook'
53, 'SBS_STARKING_KOREA_ABACUS KIDS_FKA', 'I M Shook', 'I M Shook'- 'I M Shook'
54," ""'공기반 콧소리반' 트로트 신동 장송호 @놀라운 대회 스타킹 131102""", 'KBS광주', 'I M Shook'- 'KBS광주'
55, '조명섭 나포리맘보', 'I M Shook', 'KBS광주'- 'I M Shook'
