43, '비행기는 어떻게 출발하게 될까??? 궁금하지않으세요? / 케세이퍼시픽 보잉777 홍콩공항 게이트 출발 영상 / 홍콩 시위속에도 안전하게 돌아가는 공항', '박승호', '꺼리튜브 gguri Tube'- '박승호'
44, '절벽 위에서 일한다, '떠먹여주는과학', '박승호'- '떠먹여주는과학'
45, 천길 낭떠러지 위의 극한직업 ‘잔도공’', '박승호', '떠먹여주는과학'- '박승호'
46, '2019 동남아시안게임 U-23 축구 베트남 2 : 1 인도네시아 후반 91분의 짜릿한 역전승 축제로구나~ 베트남 3연승 베트남축구 현지반응', 'idforwook', '박승호'- 'idforwook'
47, '[마클도전기]21부. 살짝 달려봅니다. 13연승 중', 'freeara', 'idforwook'- 'freeara'
48, '[축냐TV] 위닝/ウイイレ/PES2020 Myclub #28 또하나의 대세감독? 4-1-3-2 포사티!', 'LEE Logan', 'freeara'- 'LEE Logan'
49, 'Ceres Celestial Legend- Lets make love', '떠먹여주는과학', 'LEE Logan'- '떠먹여주는과학'
50, '절벽 위에서 일한다, '떠먹여주는과학', '떠먹여주는과학'- '떠먹여주는과학'
51, 천길 낭떠러지 위의 극한직업 ‘잔도공’', 'LEE Logan', '떠먹여주는과학'- 'LEE Logan'
52, '한국 시속 40, '떠먹여주는과학', 'LEE Logan'- '떠먹여주는과학'
53,320KM 의 75톤급 로켓 엔진 개발 성공 한국이 로켓엔진을 20년간 개발 못했던 충격적인 이유', '떠먹여주는과학', '떠먹여주는과학'- '떠먹여주는과학'
54, '도쿄 세계인 축제를 무너뜨리는 영국언론의 충격발언 현상황, 'idforwook', '떠먹여주는과학'- 'idforwook'
55, “IOC는 일본에 중대한 결정을 내려야 한다”', 'DOOBOO', 'idforwook'- 'DOOBOO'
56," '일본이 큰 함정에 빠져버렸다며 전세계가 크게 놀란 현상황 ""아베의 초강력 반전카드 알고보니 대재앙""'", '12tune', 'DOOBOO'- '12tune'
57, '한국 시속 40, 'Harry Evett', '12tune'- 'Harry Evett'
58,320KM 의 75톤급 로켓 엔진 개발 성공 한국이 로켓엔진을 20년간 개발 못했던 충격적인 이유', 'idforwook', 'Harry Evett'- 'idforwook'
59, '우주대기행 5부 물질의 생성과파괴 KOR HDTV 720p x264', 'Algol', 'idforwook'- 'Algol'
60, '달에 정착한 인류', '한국천문연구원(KASI)', 'Algol'- '한국천문연구원(KASI)'
61, '우주대기행 5부 물질의 생성과파괴 KOR HDTV 720p x264', '신박과학', '한국천문연구원(KASI)'- '신박과학'
62, '태양계 그리고 우리 은하', '떠먹여주는과학', '신박과학'- '떠먹여주는과학'
63, '고래자리 A 은하 [Messier 77]', 'Topic', '떠먹여주는과학'- 'Topic'
64, '[우주다큐]NHK 우주대기행 E06 또 하나의 지구', '한국천문연구원(KASI)', 'Topic'- '한국천문연구원(KASI)'
65, '달에 정착한 인류', '떠먹여주는과학', '한국천문연구원(KASI)'- '떠먹여주는과학'
66, '달에 정착한 인류', 'Topic', '떠먹여주는과학'- 'Topic'
67, '[우주다큐]NHK 우주대기행 E06 또 하나의 지구', 'Topic', 'Topic'- 'Topic'
68, '달에 정착한 인류', '떠먹여주는과학', 'Topic'- '떠먹여주는과학'
69, '달에 정착한 인류', 'Topic', '떠먹여주는과학'- 'Topic'
70, '태양계 그리고 우리 은하', 'Topic', 'Topic'- 'Topic'
71, 'healing 360 VR-Earth [힐링 360 VR]-지구', 'Topic', 'Topic'- 'Topic'
72, 'got balls - planet size comparison, '떠먹여주는과학', 'Topic'- '떠먹여주는과학'
73, 12tune', '박승호', '떠먹여주는과학'- '박승호'
74, 'Universe Size Comparison 3D', '쓸모왕', '박승호'- '쓸모왕'
75, '태양계 그리고 우리 은하', '박승호', '쓸모왕'- '박승호'
76, '태양계 행성 크기 비교 Got Balls (한국어)', '박승호', '박승호'- '박승호'
77, '태양계 개요 (한국천문연구원)', '박승호', '박승호'- '박승호'
78, '우주의 끝은 있을까? 그곳에 가면 어떻게 될까? [신박과학]', 'EBSDocumentary (EBS 다큐)', '박승호'- 'EBSDocumentary (EBS 다큐)'
79, '달에 정착한 인류', '박승호', 'EBSDocumentary (EBS 다큐)'- '박승호'
80, '죽어버린 별들. 행성이 블랙홀 주위를 공전할 때', '한국천문연구원(KASI)', '박승호'- '한국천문연구원(KASI)'
81, '태양계 개요 (한국천문연구원)', '박승호', '한국천문연구원(KASI)'- '박승호'
82, '달에 정착한 인류', '팍포커스 Park Focus', '박승호'- '팍포커스 Park Focus'
83, '죽어버린 별들. 행성이 블랙홀 주위를 공전할 때', '도이도', '팍포커스 Park Focus'- '도이도'
84, '죽어버린 별들. 행성이 블랙홀 주위를 공전할 때', 'JTBC3 FOX Sports', '도이도'- 'JTBC3 FOX Sports'
85, '달에 정착한 인류', 'SBS Sports', 'JTBC3 FOX Sports'- 'SBS Sports'
86, '죽어버린 별들. 행성이 블랙홀 주위를 공전할 때', 'SBS Sports', 'SBS Sports'- 'SBS Sports'
87, '죽어버린 별들. 행성이 블랙홀 주위를 공전할 때', 'ArtSoccer', 'SBS Sports'- 'ArtSoccer'
88, '죽어버린 별들. 행성이 블랙홀 주위를 공전할 때', 'ArtSoccer', 'ArtSoccer'- 'ArtSoccer'
89, '달에 정착한 인류', 'MaxFootball', 'ArtSoccer'- 'MaxFootball'
90, '우주대기행 5부 물질의 생성과파괴 KOR HDTV 720p x264', 'Pod 6', 'MaxFootball'- 'Pod 6'
91, '도쿄 세계인 축제를 무너뜨리는 영국언론의 충격발언 현상황, 'Ingleton Pottery', 'Pod 6'- 'Ingleton Pottery'
