0,['속보! 검찰,['최지우뉴스',-['최지우뉴스'
1," 문재인 끝났다! ""이례적 서류"" 유재수", '최지우뉴스',['최지우뉴스'- '최지우뉴스'
2, 재판서 밝히겠다!', '연합뉴스TV', '최지우뉴스'- '연합뉴스TV'
3, '속보! 검찰, '채널A 뉴스', '연합뉴스TV'- '채널A 뉴스'
4," 문재인 끝났다! ""이례적 서류"" 유재수", '채널A 뉴스', '채널A 뉴스'- '채널A 뉴스'
5, 재판서 밝히겠다!', '채널A 뉴스', '채널A 뉴스'- '채널A 뉴스'
6, '연합뉴스TV 생방송 (LIVE & NEWS)', 'SBS 뉴스', '채널A 뉴스'- 'SBS 뉴스'
7, '정권 실세로 군림? 유재수는 대체 누구길래 | 김진의 돌직구쇼', 'SBS 뉴스', 'SBS 뉴스'- 'SBS 뉴스'
8, '입 연 박형철 “조국 지시로 감찰 중단”…윗선은 누구? | 정치데스크', 'SBS ENTER PLAY', 'SBS 뉴스'- 'SBS ENTER PLAY'
9, '검찰 “박형철, '신의한수', 'SBS ENTER PLAY'- '신의한수'
10, 조국 지시로 유재수 감찰 중단” 진술 확보 | 뉴스A', '김태우TV', '신의한수'- '김태우TV'
11, '유재수 감찰 무마 의혹…검찰 칼끝, '김태우TV', '김태우TV'- '김태우TV'
12, 청와대 윗선 향할까 / SBS / 주영진의 뉴스브리핑', 'YTN NEWS', '김태우TV'- 'YTN NEWS'
13," ""'블라인드' 아닌 사실상 직접 투자?…사기죄 추가되나 / SBS / 주영진의 뉴스브리핑""", 'YTN NEWS', 'YTN NEWS'- 'YTN NEWS'
